Date,Player,Player_MLBAM_ID,Player_Type,Team,Opponent,Season,Game_ID,Game_Index,Team_ID,Opponent_ID,Is_Home,Opp_Starter_ID,Opp_Starter_Player,H,TB,R,HR,RBI,PA,AB,BB,SO,Batting_Order,Team_PA_share,wOBA,xwOBA,ISO,Barrel%,HardHit%,Opp_Pitcher_ERA_3,Opp_Pitcher_K9_3,Opp_Bullpen_ERA_7,Park_Factor,Wind_Out_MPH,Temp_F,Did_Not_Play,Rest_Days,Month_sin,Month_cos,DayOfWeek_sin,DayOfWeek_cos,Market_H,Market_TB,Market_R,Market_HR,Market_RBI,Synthetic_Market_H,Synthetic_Market_TB,Synthetic_Market_R,Synthetic_Market_HR,Synthetic_Market_RBI,Market_Source_H,Market_Source_TB,Market_Source_R,Market_Source_HR,Market_Source_RBI,Market_H_books,Market_TB_books,Market_R_books,Market_HR_books,Market_RBI_books,Market_H_over_price,Market_TB_over_price,Market_R_over_price,Market_HR_over_price,Market_RBI_over_price,Market_H_under_price,Market_TB_under_price,Market_R_under_price,Market_HR_under_price,Market_RBI_under_price,Market_H_line_std,Market_TB_line_std,Market_R_line_std,Market_HR_line_std,Market_RBI_line_std,Market_Fetched_At_UTC,H_market_gap,TB_market_gap,R_market_gap,HR_market_gap,RBI_market_gap,H_rolling_avg,TB_rolling_avg,R_rolling_avg,HR_rolling_avg,RBI_rolling_avg,H_lag1,TB_lag1,R_lag1,HR_lag1,RBI_lag1,Matchup_Network_Version,Matchup_Network_Batter_Support,Matchup_Network_Pitcher_Support,Pitcher_Profile_Uncertainty,Batter_Vs_Starter_Games,Matchup_Network_Confidence,Batter_Profile_H_Strength,Pitcher_Profile_H_Vulnerability,Batter_Vs_Starter_H_Lift,Archetype_Neighbor_H_Games,Archetype_Neighbor_H_Effective_Support,Archetype_Neighbor_H_Lift,Matchup_Network_H_Score,Matchup_Network_H_Adjustment,Batter_Profile_TB_Strength,Pitcher_Profile_TB_Vulnerability,Batter_Vs_Starter_TB_Lift,Archetype_Neighbor_TB_Games,Archetype_Neighbor_TB_Effective_Support,Archetype_Neighbor_TB_Lift,Matchup_Network_TB_Score,Matchup_Network_TB_Adjustment,Batter_Profile_R_Strength,Pitcher_Profile_R_Vulnerability,Batter_Vs_Starter_R_Lift,Archetype_Neighbor_R_Games,Archetype_Neighbor_R_Effective_Support,Archetype_Neighbor_R_Lift,Matchup_Network_R_Score,Matchup_Network_R_Adjustment,Batter_Profile_HR_Strength,Pitcher_Profile_HR_Vulnerability,Batter_Vs_Starter_HR_Lift,Archetype_Neighbor_HR_Games,Archetype_Neighbor_HR_Effective_Support,Archetype_Neighbor_HR_Lift,Matchup_Network_HR_Score,Matchup_Network_HR_Adjustment,Batter_Profile_RBI_Strength,Pitcher_Profile_RBI_Vulnerability,Batter_Vs_Starter_RBI_Lift,Archetype_Neighbor_RBI_Games,Archetype_Neighbor_RBI_Effective_Support,Archetype_Neighbor_RBI_Lift,Matchup_Network_RBI_Score,Matchup_Network_RBI_Adjustment
2026-03-01,Felix_Reyes,694025,hitter,PHI,NYY,2026,831578,0,143,147,1,701542.0,Will_Warren,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,5.0,0.06060606060606061,0.445,0.445,0.0,0.0,53.4,4.1,8.2,4.0,1.08,-6.0,75.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.4841575757575758,0.4230818181818182,-0.31213636363636366,-0.4744,0.4517727272727273,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-03,Felix_Reyes,694025,hitter,PHI,TB,2026,831532,1,143,139,0,663556.0,Shane_McClanahan,2.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,5.0,0.08571428571428572,0.5933333333333334,0.5933333333333334,0.0,0.0,65.0,4.1,8.2,4.05,1.0611111111111111,-12.0,82.0,0,2.0,1.0,6.123233995736766e-17,0.7818314824680298,0.6234898018587336,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.5466666666666666,0.5081833333333334,-0.19641666666666663,-0.48044444444444445,0.5283,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,batter_pitcher_profile_network_v2,0.03333333333333333,0.0,1.0,0.0,0.016666666666666666,0.9711111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5851388888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2211111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-04,Felix_Reyes,694025,hitter,PHI,CAN,2026,831427,2,143,784,1,615698.0,Cal_Quantrill,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.02857142857142857,0.0,0.0,0.0,0.0,10.0,4.1,8.2,5.142857142857143,1.08,0.0,83.0,0,1.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,1.5,1.5,0.5,0.5,0.5,1.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.00011428571428595546,-0.3621500000000002,-0.5,-0.4744,-0.16225714285714277,1.5,1.5,0.0,0.0,0.5,2.0,2.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.06666666666666667,0.0,1.0,0.0,0.03333333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5562499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-05,Felix_Reyes,694025,hitter,PHI,BOS,2026,831581,3,143,111,1,674674.0,TJ_Sikkema,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,0.02702702702702703,0.0,0.0,0.0,0.0,10.0,4.1,8.2,5.770263157894737,1.08,0.0,83.0,0,1.0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.4029402560455193,0.04616351351351344,-0.5,-0.4744,-0.24603639165481267,1.0,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.1,0.0,1.0,0.0,0.05,0.40819444444444447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052499999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40416666666666656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7029166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0605555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-06,Felix_Reyes,694025,hitter,PHI,PIT,2026,831470,4,143,134,0,677952.0,Braxton_Ashcraft,1.0,2.0,1.0,0.0,2.0,3.0,3.0,0.0,1.0,6.0,0.06521739130434782,0.42333333333333334,0.42333333333333334,0.3333333333333333,28.333333333333332,65.0,4.1,8.2,1.5,1.08,0.0,83.0,0,1.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.11826956521739129,0.5233673913043477,-0.45324275362318844,-0.3202333333333333,-0.34430434782608693,0.75,0.75,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.13333333333333333,0.0,1.0,0.0,0.06666666666666667,0.027810019841270052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2807886904761904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10636160714285708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7940277777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5802256944444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-08,Felix_Reyes,694025,hitter,PHI,MIN,2026,831522,5,143,142,0,680573.0,Simeon_Woods_Richardson,2.0,5.0,2.0,1.0,3.0,3.0,3.0,0.0,0.0,9.0,0.08571428571428572,0.9966666666666667,0.9966666666666667,1.0,30.0,65.0,15.0,9.0,3.873214285714286,1.08,0.0,83.0,0,2.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.3773387503128306,2.0387489341629634,0.24457738095238102,-0.14944118245833332,0.5284607142857143,0.8,1.0,0.2,0.0,0.6,1.0,2.0,1.0,0.0,2.0,batter_pitcher_profile_network_v2,0.16666666666666666,0.05,0.9425,0.0,0.09506052083333333,0.024361111111111222,0.43600000000000005,0.0,0.0,0.0,0.0,0.00010178884259259306,1.0178884259259307e-05,-0.1737777777777777,-0.0040000000000000036,0.0,0.0,0.0,0.0,-6.661481481481484e-06,-1.0658370370370374e-06,-0.07749999999999996,0.08941176470588239,0.0,0.0,0.0,0.0,0.0,0.0,-0.34105555555555556,-0.504,0.0,0.0,0.0,0.0,-0.001647298333333333,-4.118245833333333e-05,-0.2852222222222222,0.12470588235294122,0.0,0.0,0.0,0.0,0.0,0.0
2026-03-09,Felix_Reyes,694025,hitter,PHI,BOS,2026,831515,6,143,111,0,676979.0,Garrett_Crochet,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,0.027777777777777776,0.69,0.69,0.0,0.0,65.0,10.125,10.125,7.772644507195591,1.08,0.0,85.0,0,1.0,1.0,6.123233995736766e-17,0.0,1.0,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.6775579605931394,0.5541840628503114,0.6340351832080189,-0.23431218200528064,0.9955531438421028,1.0,1.8,0.6,0.2,1.0,2.0,5.0,2.0,1.0,3.0,batter_pitcher_profile_network_v2,0.2,0.05,0.9425,0.0,0.1117271875,0.6916417378917378,0.4218238636363635,0.0,0.0,0.0,0.0,0.003355136386491111,0.00033551363864911115,0.6844586894586893,0.5563977272727272,0.0,0.0,0.0,0.0,0.004379559481109166,0.0007007295169774666,0.5758012820512821,0.4619886363636363,0.0,0.0,0.0,0.0,0.003059156964780012,0.0001529578482390006,0.46474537037037034,0.65725,0.0,0.0,0.0,0.0,0.003512719788773148,8.78179947193287e-05,0.5741203703703703,0.6418181818181818,0.0,0.0,0.0,0.0,0.004237530260942761,0.00025425181565656566
2026-03-13,Felix_Reyes,694025,hitter,PHI,BAL,2026,831565,7,143,110,1,700249.0,Cade_Povich,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.047619047619047616,0.0,0.0,0.0,0.0,10.0,2.4545454545454546,2.4545454545454546,5.902806122448979,1.08,21.0,78.0,0,4.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.4301239367927404,-0.683977532929293,-0.09432291091426437,-0.3344464123737374,0.2378770961502139,0.6,1.4,0.6,0.2,1.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.23333333333333334,0.05,0.9425,0.0,0.12839385416666665,0.7650198412698415,-0.3192727272727272,0.0,0.0,0.0,0.0,-0.003277020446127946,-0.0003277020446127946,0.669920634920635,-0.4363636363636363,0.0,0.0,0.0,0.0,-0.003922080808080808,-0.0006275329292929293,0.6107142857142858,-0.5204382284382283,0.0,0.0,0.0,0.0,-0.004264340734265733,-0.00021321703671328668,0.3171031746031745,-0.4363636363636363,0.0,0.0,0.0,0.0,-0.0018564949494949486,-4.641237373737372e-05,0.5313888888888888,-0.6153100233100232,0.0,0.0,0.0,0.0,-0.0043868328705862015,-0.00026320997223517207
2026-03-14,Felix_Reyes,694025,hitter,PHI,NYY,2026,831514,8,143,147,0,608331.0,Max_Fried,1.0,4.0,1.0,1.0,2.0,4.0,4.0,0.0,0.0,7.0,0.10526315789473684,0.525,0.525,0.75,30.0,65.0,2.25,13.5,3.375824175824176,1.08,0.0,80.0,0,1.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.5,1.5,0.5,0.5,0.5,0.5,1.5,0.5,0.5,0.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,-0.1298226980023947,0.5153147416617934,0.12065405699638987,-0.07189252599826385,0.33691320419798887,0.6,1.4,0.6,0.2,1.0,0.0,0.0,0.0,0.0,0.0,batter_pitcher_profile_network_v2,0.26666666666666666,0.05,0.9425,0.0,0.14506052083333332,0.7733420138888888,-0.837,0.0,0.0,0.0,0.0,-0.009925071406249998,-0.0009925071406249998,0.6202951388888888,-0.35,0.0,0.0,0.0,0.0,-0.0033289172453703692,-0.0005326267592592591,0.6527343750000001,-0.5369999999999999,0.0,0.0,0.0,0.0,-0.005374614843749999,-0.0002687307421875,0.12998263888888884,0.15000000000000002,0.0,0.0,0.0,0.0,0.0002989600694444443,7.474001736111108e-06,0.41657118055555553,-0.43699999999999994,0.0,0.0,0.0,0.0,-0.002791304623842592,-0.0001674782774305555
2026-03-15,Felix_Reyes,694025,hitter,PHI,ATL,2026,831458,9,143,144,1,660761.0,José_Suarez,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.029411764705882353,0.0,0.0,0.0,0.0,10.0,16.875,6.75,5.302846401718583,1.08,7.0,82.0,0,1.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.5,2.5,0.5,0.5,1.5,0.5,2.5,0.5,0.5,1.5,synthetic,synthetic,synthetic,synthetic,synthetic,0.0,0.0,0.0,0.0,0.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,-110.0,0.0,0.0,0.0,0.0,0.0,2026-08-07T03:26:40.888653+00:00,0.45958248351972375,-0.6472323529411763,0.12095114361534098,-0.09439999999999998,-0.22126944461995324,0.8,2.2,0.8,0.4,1.4,1.0,4.0,1.0,1.0,2.0,batter_pitcher_profile_network_v2,0.3,0.0,1.0,0.0,0.15,0.8819753086419753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8312345679012345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7013888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5106790123456788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6065123456790121,0.0,0.0,0.0,0.0,0.0,0.0,0.0
